"Severity","Type","Code","Source","Description","Sample Time","Run Hours"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 4:39:49 PM","20715.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 3:39:27 PM","20714.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 2:05:43 PM","20712.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 12:54:49 PM","20711.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 4:37:11 AM","20703.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 1:39:01 AM","20700.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/28/2020 12:37:29 AM","20699.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 11:30:35 PM","20698.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 9:50:14 PM","20696.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 8:39:23 PM","20695.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 7:29:54 PM","20694.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 6:26:23 PM","20693.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 3:52:15 PM","20690.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 2:34:17 PM","20689.0"
"Low","Events","272:1","Engine","Inlet Air Restriction Warning","9/27/2020 1:46:58 PM","20688.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/27/2020 1:05:03 PM","20687.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 8:17:07 PM","20676.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 5:09:15 PM","20673.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 4:09:14 PM","20672.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 3:00:58 PM","20671.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 1:30:40 PM","20669.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 12:21:27 PM","20668.0"
"Low","Events","272:1","Engine","Inlet Air Restriction Warning","9/25/2020 11:45:47 AM","20668.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 11:11:23 AM","20667.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 9:44:34 AM","20666.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 8:37:11 AM","20665.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 2:47:59 AM","20659.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 1:31:18 AM","20657.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/25/2020 12:26:53 AM","20656.0"
"Low","Events","2143:1","Engine","Low Engine Coolant Level","9/24/2020 10:52:51 PM","20655.0"
