Sample Time,Battery Voltage (Volts),Boost Pressure (kPa),CID,Coolant Level,Diagnostic Status,Diagnostic SubCode - FMI,Diangostic WCI,Engine Acceleration Rate (RPM/s),Engine Coolant Temperature (Deg C),Engine Load Factor (%),Engine Oil Pressure (kPa),Engine Oil Temperature (Deg C),Engine Run Hours (Hours),Engine Speed (RPM),Event Code,Event Status,Fuel Consumption Rate (L/h),Fuel Filter Differential Pressure (kPa),Fuel Position,Fuel Pressure (kPa),Inlet Air Temperature (Deg C),Oil Filter Differential Pressure (kPa),Run Status (On/Off),Throttle Position (%),Total Fuel (L),,,,,,,,,,,,,,,,,,,,,,,,,,,Consumed,Ran,FFM Cons,FFM SFC,FFM Idle Cons
9/1/2020,,,,,,,,,67,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,67,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,66,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,65,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,,0.003483796
9/1/2020,,,,,,,,,64,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,25.50,0.00,,OK,,,,500.00,64,0,1,52,,0.00,,,0,4,0,0,46.1,2.00,,0,50411.251,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002627315,,0.002627315
9/1/2020,,,,,,,,,64,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000844907,,0.000844907
9/1/2020,,,,,,,,,63,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,62,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,62,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,61,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,60,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,60,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,59,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,59,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,58,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,58,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,57,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,25.50,1.00,,OK,,,,500.00,56.5,0,1,45,,0.00,,,0,4,0,0,45,2.00,,0,50411.251,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002650463,,0.002650463
9/1/2020,,,,,,,,,56,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000821759,,0.000821759
9/1/2020,,,,,,,,,56,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,55,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,,0.003483796
9/1/2020,,,,,,,,,55,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,54,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,54,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,53,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,53,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,53,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,52,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,,,,,,,,,52,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003483796,,0.003483796
9/1/2020,,,,,,,,,51,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003472222,,0.003472222
9/1/2020,25.50,0.00,,OK,,,,500.00,51,0,1,41,,0.00,,,0,4,0,0,42.9,3.00,,0,50411.251,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002615741,,0.002615741
